Genes	ES1	ES2	DE3	DE2	DE3	ES1	D4CF2	D4CF3	FS1	FS2	AS1	AS2	AS3
ARL4D	4.24397	3.88165	32.0476	34.2743	32.0476	4.24397	5.93047	6.25041	7.54174	2.12554	5.92946	7.99544	12.056
ARL5A	46.7121	46.5279	32.5159	44.8351	32.5159	46.7121	45.6415	56.1586	14.7608	23.2523	43.0357	24.1073	18.4404
ARL6	5.01998	4.83146	6.23501	5.89056	6.23501	5.01998	7.17609	9.14839	3.99569	2.68564	7.3668	1	2.83918
ARL6IP4	22.3142	20.1931	36.5577	19.4207	36.5577	22.3142	43.7372	26.9451	59.9234	68.2121	39.9193	382.245	112.658
ARMS2	1	1	1	1	1	1	1	1	1.13457	1	1	1	1
ARNTL2	7.42497	8.55846	10.2097	12.3279	10.2097	7.42497	5.99548	7.83185	2.28456	2.72836	6.0934	1.85901	2.9302
ART1	1	1	1	1	1	1	1	1	1	1	1	1	1
ART5	3.35262	3.30799	3.45942	1.97054	3.45942	3.35262	8.75837	6.35886	1.12552	1.13321	6.22219	1	1.30517
ARV1	12.226	14.167	12.5167	14.2647	12.5167	12.226	13.3974	18.8908	10.7052	12.9031	12.7278	12.6868	18.8727
ASAH2B	1.12195	1.26917	1.13992	1.17414	1.13992	1.12195	1.11602	1	1.99706	1.29104	1.13099	1	1
ASB17	1	1.07169	1	1	1	1	1.06179	1	1	1	1	1	1
ASB8	5.28631	5.35517	6.51654	7.50951	6.51654	5.28631	6.76085	7.28965	13.5398	12.2585	7.55319	33.4797	17.055
ASCL5	1.13479	1	1	1	1	1.13479	1	1	1.13384	1	1	1	1.17458
ASPHD1	2.97263	3.22443	1.73805	1.4899	1.73805	2.97263	1.65277	1.31401	5.59928	2.38989	1.78309	1	9.99439
ASUN	32.8695	35.9773	18.4353	24.3038	18.4353	32.8695	27.8136	36.5561	7.56557	8.12256	23.1027	6.20812	7.36259
ATAD1	29.1855	32.235	30.9252	45.4394	30.9252	29.1855	53.0506	59.134	18.2071	18.5171	50.2509	6.95116	14.3963
ATAD5	15.1334	17.0978	11.9944	12.1896	11.9944	15.1334	15.2124	16.5368	3.29332	3.58946	12.7606	1.19885	1.82034
ATF7IP2	12.7453	12.0132	8.40856	9.87856	8.40856	12.7453	7.17621	8.1519	8.26709	11.085	5.34522	1.74465	4.30143
ATG13	14.1758	13.9956	27.6607	25.3927	27.6607	14.1758	8.87618	8.90952	13.0284	14.1039	9.09603	15.7852	16.0086
ATL1	8.85934	8.38552	2.8348	2.31846	2.8348	8.85934	3.78521	5.06054	7.76349	4.67876	5.74131	4.47316	5.87839
ATP11A	13.7773	15.3618	14.7256	13.4497	14.7256	13.7773	9.43733	8.74213	18.8958	29.5436	9.79332	5.06372	10.8026
ATP11AUN	1	1	1	1	1	1	1	1	1	1.04235	1	1	1
ATP4B	1.04225	1	1.09696	1	1.09696	1.04225	1	1	1	1.0334	1	1	1.1641
ATP5B	623.966	607.828	410.96	533.98	410.96	623.966	577.853	666.848	239.817	257.747	560.972	968.731	492.177
ATP5EP2	76.7695	84.9904	61.627	79.7768	61.627	76.7695	86.9968	100.465	112.544	224.461	91.6717	311.979	282.499
ATP5G2	182.227	160.533	126.824	73.3916	126.824	182.227	286.995	190.994	185.424	204.959	261.863	493.154	273.737
ATP8B1	1.88103	1.71128	2.57501	2.5309	2.57501	1.88103	2.03227	2.01905	39.2496	41.9968	2.14097	27.6001	44.1513
ATPAF1	41.6579	43.5394	37.4335	44.3666	37.4335	41.6579	39.684	53.8679	21.9914	19.6413	42.4099	25.3664	29.1973
AUH	14.8557	14.68	10.6021	13.4579	10.6021	14.8557	8.58623	8.58756	13.7023	17.4096	8.67499	21.068	10.5762
AUTS2	23.2976	23.1083	16.6525	18.9221	16.6525	23.2976	9.9066	11.2018	10.8562	10.1443	13.2512	5.7442	6.40184
AVP	1	1	1	1	1	1	1	1	1.09783	1.20962	1	1	1
AVPI1	4.72499	3.7915	2.95232	2.05073	2.95232	4.72499	3.18758	3.10461	28.0566	42.9626	2.87716	80.3824	20.303
AVPR2	1	1.04313	1.12315	1.05585	1.12315	1	1.07438	1.03577	1.20046	1.18229	1	1	5.7791
AXIN2	8.21575	8.24519	26.8493	27.2252	26.8493	8.21575	57.2743	51.9867	6.05484	5.56762	49.5023	2.79	8.59432
AZI2	19.1754	20.3397	21.9166	29.4575	21.9166	19.1754	27.5543	33.8215	14.7429	14.848	29.7589	21.3885	14.0433
B3GALTL	4.87027	5.00073	14.0875	18.9231	14.0875	4.87027	7.11955	8.39673	5.20524	4.09535	7.30927	2.7985	2.94707
B3GAT3	4.07933	3.4899	5.89903	2.80039	5.89903	4.07933	8.01167	3.97797	9.89465	17.8353	7.84118	27.0434	34.2012
B3GNT5	8.20733	8.43132	41.3882	54.1528	41.3882	8.20733	17.247	21.3137	22.9765	33.127	19.7186	42.3981	23.9339
B3GNT6	1	1	1	1	1	1	1	1	8.20788	2.0118	1	3.56803	8.98063
B4GALT4	28.7788	28.7376	142.249	169.146	142.249	28.7788	29.7537	29.5716	37.1142	32.1796	25.9874	21.4968	23.4673
B4GALT7	2.79361	3.0983	5.85678	2.43432	5.85678	2.79361	5.09536	3.13419	8.82967	10.0126	5.20013	20.0164	26.9489
BAGE	1	1	1	1	1	1	1	1	1	1	1	1	1
BAGE2	1	1	1	1	1	1	1	1	1	1	1	1	1
BAGE4	1	1	1	1	1	1	1	1	1	1	1	1	1
BAGE5	1	1	1	1	1	1	1	1	1	1	1	1	1
BASP1	91.6571	94.901	82.3373	100.266	82.3373	91.6571	62.587	72.6781	42.2383	3.66086	73.8813	14.5957	10.0566
BAZ2A	28.5454	28.4815	37.026	29.9717	37.026	28.5454	26.7951	22.9657	22.0346	22.3377	23.4573	14.8369	16.6667
BAZ2B	1.18831	1.15587	1.24307	1.33614	1.24307	1.18831	1.06718	1.10773	1.24557	1.14863	1.10114	1.51872	1.50091
BBIP1	11.4407	12.8466	12.6522	13.4289	12.6522	11.4407	17.88	22.7247	5.53164	4.33449	18.0947	5.24217	7.61799
BBOX1	1.12993	1	1.03727	1.09277	1.03727	1.12993	1.0618	1.05946	1.58076	1.43614	1.06978	1	1
BBS12	3.44413	2.94346	3.28885	2.84777	3.28885	3.44413	4.53923	5.16167	4.18772	5.16848	5.05399	2.18686	3.04898
BCAP29	6.19409	5.99445	10.7386	15.4366	10.7386	6.19409	11.747	14.813	9.7011	5.79056	11.2252	7.03762	8.5365
BCDIN3D-AS1	1.48063	1.55738	1.36393	1.28591	1.36393	1.48063	1.30859	1.45449	1.38197	1.92842	1.49704	1	1.60914
